,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
CL,516,CL,39,2013-04-01,71.0,False,4.2626798770413155,0.0816429503602798,4.181036926681036
CL,517,CL,40,2013-05-01,61.0,False,4.110873864173311,-0.050541549195522784,4.161415413368834
CL,518,CL,41,2013-06-01,53.0,False,3.970291913552122,-0.17234026974914807,4.14263218330127
CL,519,CL,42,2013-07-01,69.0,False,4.23410650459726,0.10794366390341636,4.126162840693843
CL,520,CL,43,2013-08-01,67.0,False,4.204692619390966,0.09408196745806574,4.1106106519329
CL,521,CL,44,2013-09-01,59.0,False,4.07753744390572,-0.01884050056412523,4.096377944469845
CL,522,CL,45,2013-10-01,55.0,False,4.007333185232471,-0.07810189331458162,4.085435078547053
CL,523,CL,46,2013-11-01,52.0,False,3.9512437185814275,-0.128194687482734,4.0794384060641615
CL,524,CL,47,2013-12-01,58.0,False,4.060443010546419,-0.01829957015248329,4.078742580698902
CL,525,CL,48,2014-01-01,67.0,False,4.204692619390966,0.12312694138667357,4.081565678004292
CL,526,CL,49,2014-02-01,61.0,False,4.110873864173311,0.02505308347583668,4.085820780697475
CL,527,CL,50,2014-03-01,57.0,False,4.04305126783455,-0.04842181935082035,4.091473087185371
CL,528,CL,51,2014-04-01,57.0,False,4.04305126783455,-0.05585407943161158,4.098905347266162
CL,529,CL,52,2014-05-01,65.0,False,4.174387269895637,0.06669398948011729,4.1076932804155195
CL,530,CL,53,2014-06-01,57.0,False,4.04305126783455,-0.0734304369507024,4.116481704785253
CL,531,CL,54,2014-07-01,65.0,False,4.174387269895637,0.04936026487713274,4.125027005018504
CL,532,CL,55,2014-08-01,64.0,False,4.1588830833596715,0.027021358217096392,4.131861725142575
CL,533,CL,56,2014-09-01,62.0,False,4.127134385045092,-0.009206695220959737,4.136341080266051
CL,534,CL,57,2014-10-01,67.0,False,4.204692619390966,0.06642197792315852,4.138270641467807
CL,535,CL,58,2014-11-01,59.0,False,4.07753744390572,-0.05976509100064753,4.137302534906367
CL,536,CL,59,2014-12-01,58.0,False,4.060443010546419,-0.07375290915921795,4.134195919705637
CL,537,CL,60,2015-01-01,66.0,False,4.189654742026425,0.060940871886909775,4.128713870139515
CL,538,CL,61,2015-02-01,70.0,False,4.248495242049359,0.12910499672011433,4.119390245329245
CL,539,CL,62,2015-03-01,64.0,False,4.1588830833596715,0.05310849776548654,4.105774585594185
CL,540,CL,63,2015-04-01,57.0,False,4.04305126783455,-0.04651691336447872,4.089568181199029
CL,541,CL,64,2015-05-01,51.0,False,3.9318256327243257,-0.14153183131356917,4.073357464037895
CL,542,CL,65,2015-06-01,55.0,False,4.007333185232471,-0.05162039888302328,4.0589535841154945
CL,543,CL,66,2015-07-01,65.0,False,4.174387269895637,0.1285784423143257,4.045808827581311
CL,544,CL,67,2015-08-01,58.0,False,4.060443010546419,0.027927869942972805,4.032515140603446
CL,545,CL,68,2015-09-01,50.0,False,3.912023005428146,-0.1077844379604298,4.019807443388576
