,,Pais,level_1,date,/g/120ry1nd,isPartial,log,cycle,trend
PE,2148,PE,94,2017-11-01,13.0,False,2.5649493574615367,-0.09655964674219986,2.6615090042037366
PE,2149,PE,95,2017-12-01,19.0,False,2.9444389791664403,0.28863258242268053,2.6558063967437597
PE,2150,PE,96,2018-01-01,12.0,False,2.4849066497880004,-0.1682284654932782,2.6531351152812785
PE,2151,PE,97,2018-02-01,8.0,False,2.0794415416798357,-0.5804257098470762,2.659867251526912
PE,2152,PE,98,2018-03-01,11.0,False,2.3978952727983707,-0.2816758166346873,2.679571089433058
PE,2153,PE,99,2018-04-01,17.0,False,2.833213344056216,0.12707219293488947,2.7061411511213267
PE,2154,PE,100,2018-05-01,16.0,False,2.772588722239781,0.04381136047036671,2.7287773617694144
PE,2155,PE,101,2018-06-01,19.0,False,2.9444389791664403,0.20564146272917316,2.738797516437267
PE,2156,PE,102,2018-07-01,29.0,False,3.367295829986474,0.6390462304604703,2.728249599526004
PE,2157,PE,103,2018-08-01,15.0,False,2.70805020110221,0.015441247953312587,2.6926089531488975
PE,2158,PE,104,2018-09-01,17.0,False,2.833213344056216,0.19521165412931918,2.638001689926897
PE,2159,PE,105,2018-10-01,14.0,False,2.6390573296152584,0.06824605300175124,2.570811276613507
PE,2160,PE,106,2018-11-01,14.0,False,2.6390573296152584,0.13838262208420238,2.500674707531056
PE,2161,PE,107,2018-12-01,8.0,False,2.0794415416798357,-0.35892486953873304,2.438366411218569
PE,2162,PE,108,2019-01-01,13.0,False,2.5649493574615367,0.1679821642117303,2.3969671932498064
PE,2163,PE,109,2019-02-01,3.0,False,1.0986122886681098,-1.2849634893714434,2.3835757780395532
PE,2164,PE,110,2019-03-01,8.0,False,2.0794415416798357,-0.3286490510596187,2.4080905927394545
PE,2165,PE,111,2019-04-01,15.0,False,2.70805020110221,0.24905619475724494,2.458994006344965
PE,2166,PE,112,2019-05-01,14.0,False,2.6390573296152584,0.11976642594804732,2.519290903667211
PE,2167,PE,113,2019-06-01,17.0,False,2.833213344056216,0.25707623795960943,2.5761371060966067
PE,2168,PE,114,2019-07-01,18.0,False,2.8903717578961645,0.271687215773464,2.6186845421227005
PE,2169,PE,115,2019-08-01,17.0,False,2.833213344056216,0.1928435998551823,2.640369744201034
PE,2170,PE,116,2019-09-01,19.0,False,2.9444389791664403,0.3052816141164003,2.63915736505004
PE,2171,PE,117,2019-10-01,21.0,False,3.044522437723423,0.42829632033768483,2.616226117385738
PE,2172,PE,118,2019-11-01,21.0,False,3.044522437723423,0.46667969689733413,2.577842740826089
PE,2173,PE,119,2019-12-01,10.0,False,2.302585092994046,-0.23482715400063547,2.5374122469946814
PE,2174,PE,120,2020-01-01,6.0,False,1.791759469228055,-0.724358173235339,2.516117642463394
PE,2175,PE,121,2020-02-01,7.0,False,1.9459101490553132,-0.5853179988487807,2.531228147904094
PE,2176,PE,122,2020-03-01,7.0,False,1.9459101490553132,-0.6420301987127452,2.5879403477680585
PE,2177,PE,123,2020-04-01,11.0,False,2.3978952727983707,-0.28380025372738116,2.681695526525752
PE,2178,PE,124,2020-05-01,15.0,False,2.70805020110221,-0.08918426423354697,2.797234465335757
PE,2179,PE,125,2020-06-01,33.0,False,3.4965075614664802,0.5819396203386122,2.914567941127868
PE,2180,PE,126,2020-07-01,77.0,False,4.343805421853684,1.331585095425698,3.012220326427986
PE,2181,PE,127,2020-08-01,18.0,False,2.8903717578961645,-0.18804322953815777,3.0784149874343223
PE,2182,PE,128,2020-09-01,15.0,False,2.70805020110221,-0.41551817416663894,3.123568375268849
PE,2183,PE,129,2020-10-01,18.0,False,2.8903717578961645,-0.2645911293317402,3.1549628872279047
PE,2184,PE,130,2020-11-01,93.0,False,4.532599493153256,1.359643875448203,3.1729556177050533
PE,2185,PE,131,2020-12-01,29.0,False,3.367295829986474,0.19380202104814304,3.173493808938331
PE,2186,PE,132,2021-01-01,14.0,False,2.6390573296152584,-0.5361281048079842,3.1751854344232426
PE,2187,PE,133,2021-02-01,10.0,False,2.302585092994046,-0.897283408345384,3.19986850133943
PE,2188,PE,134,2021-03-01,14.0,False,2.6390573296152584,-0.6213882188378088,3.260445548453067
PE,2189,PE,135,2021-04-01,18.0,False,2.8903717578961645,-0.46449263316174116,3.3548643910579057
PE,2190,PE,136,2021-05-01,21.0,False,3.044522437723423,-0.426193936410308,3.470716374133731
PE,2191,PE,137,2021-06-01,100.0,False,4.605170185988092,1.017318887213789,3.5878512987743028
PE,2192,PE,138,2021-07-01,52.0,False,3.9512437185814275,0.27222798478155497,3.6790157337998726
PE,2193,PE,139,2021-08-01,60.0,False,4.0943445622221,0.3604329994045097,3.7339115628175907
PE,2194,PE,140,2021-09-01,58.0,False,4.060443010546419,0.3136652080321216,3.7467778025142975
PE,2195,PE,141,2021-10-01,63.0,False,4.143134726391533,0.4252740401579551,3.7178606862335775
PE,2196,PE,142,2021-11-01,56.0,False,4.02535169073515,0.3727174899489305,3.652634200786219
PE,2197,PE,143,2021-12-01,49.0,False,3.8918202981106265,0.3281600644583169,3.5636602336523096
PE,2198,PE,144,2022-01-01,10.0,False,2.302585092994046,-1.1671275374837062,3.469712630477752
PE,2199,PE,145,2022-02-01,16.0,False,2.772588722239781,-0.622445849076307,3.395034571316088
PE,2200,PE,146,2022-03-01,25.0,False,3.2188758248682006,-0.125541285727929,3.3444171105961296
PE,2201,PE,147,2022-04-01,40.0,False,3.6888794541139363,0.3766022488518552,3.312277205262081
PE,2202,PE,148,2022-05-01,26.0,False,3.258096538021482,-0.03284291947453344,3.2909394574960156
PE,2203,PE,149,2022-06-01,32.0,False,3.4657359027997265,0.18673072917219047,3.279005173627536
PE,2204,PE,150,2022-07-01,33.0,False,3.4965075614664802,0.2219792834714771,3.274528277995003
PE,2205,PE,151,2022-08-01,27.0,False,3.295836866004329,0.017161992248015956,3.278674873756313
PE,2206,PE,152,2022-09-01,20.0,False,2.995732273553991,-0.3005784452398985,3.2963107187938894
PE,2207,PE,153,2022-10-01,18.0,False,2.8903717578961645,-0.4422158462981254,3.33258760419429
PE,2208,PE,154,2022-11-01,27.0,False,3.295836866004329,-0.09181081428574789,3.387647680290077
PE,2209,PE,155,2022-12-01,35.0,False,3.5553480614894135,0.10108522818056853,3.454262833308845
PE,2210,PE,156,2023-01-01,67.0,False,4.204692619390966,0.681017850150877,3.5236747692400887
PE,2211,PE,157,2023-02-01,28.0,True,3.332204510175204,-0.25660543770111,3.588809947876314
PA,2212,PA,0,2010-01-01,0.0,False,-4.605170185988091,-1.5714537429199127,-3.0337164430681782
PA,2213,PA,1,2010-02-01,0.0,False,-4.605170185988091,-2.2732574496720175,-2.3319127363160734
PA,2214,PA,2,2010-03-01,46.0,False,3.828641396489095,5.484941321768396,-1.6562999252793011
PA,2215,PA,3,2010-04-01,0.0,False,-4.605170185988091,-3.5342136561536983,-1.0709565298343926
PA,2216,PA,4,2010-05-01,20.0,False,2.995732273553991,3.5442776547157315,-0.5485453811617409
PA,2217,PA,5,2010-06-01,0.0,False,-4.605170185988091,-4.484537314610458,-0.12063287137763279
PA,2218,PA,6,2010-07-01,34.0,False,3.5263605246161616,3.286074622969254,0.24028590164690755
PA,2219,PA,7,2010-08-01,32.0,False,3.4657359027997265,2.9787623513357127,0.4869735514640139
PA,2220,PA,8,2010-09-01,14.0,False,2.6390573296152584,2.012096727606618,0.62696060200864
PA,2221,PA,9,2010-10-01,0.0,False,-4.605170185988091,-5.322593802392755,0.7174236164046641
PA,2222,PA,10,2010-11-01,30.0,False,3.4011973816621555,2.5521232784260803,0.849074103236075
PA,2223,PA,11,2010-12-01,0.0,False,-4.605170185988091,-5.629083860368406,1.0239136743803154
PA,2224,PA,12,2011-01-01,6.0,False,1.791759469228055,0.505280139539459,1.286479329688596
PA,2225,PA,13,2011-02-01,15.0,False,2.70805020110221,1.120560196429556,1.587490004672654
PA,2226,PA,14,2011-03-01,11.0,False,2.3978952727983707,0.511809302295152,1.8860859705032187
PA,2227,PA,15,2011-04-01,25.0,False,3.2188758248682006,1.0587923232433565,2.160083501624844
PA,2228,PA,16,2011-05-01,8.0,False,2.0794415416798357,-0.31638748584050314,2.395829027520339
PA,2229,PA,17,2011-06-01,13.0,False,2.5649493574615367,-0.03236615893169548,2.597315516393232
PA,2230,PA,18,2011-07-01,19.0,False,2.9444389791664403,0.1811761674833927,2.7632628116830475
PA,2231,PA,19,2011-08-01,39.0,False,3.6635616461296463,0.771710325282533,2.8918513208471133
PA,2232,PA,20,2011-09-01,15.0,False,2.70805020110221,-0.27623085303193884,2.984281054134149
PA,2233,PA,21,2011-10-01,16.0,False,2.772588722239781,-0.28202513830780385,3.054613860547585
PA,2234,PA,22,2011-11-01,20.0,False,2.995732273553991,-0.11657546798632756,3.1123077415403184
PA,2235,PA,23,2011-12-01,12.0,False,2.4849066497880004,-0.6772136298054505,3.162120279593451
PA,2236,PA,24,2012-01-01,17.0,False,2.833213344056216,-0.37365278866542706,3.2068661327216432
PA,2237,PA,25,2012-02-01,33.0,False,3.4965075614664802,0.2584344963570149,3.2380730651094654
PA,2238,PA,26,2012-03-01,30.0,False,3.4011973816621555,0.16015608719842467,3.241041294463731
PA,2239,PA,27,2012-04-01,26.0,False,3.258096538021482,0.0527182579242802,3.205378280097202
PA,2240,PA,28,2012-05-01,37.0,False,3.6109179126442243,0.48755716320161024,3.123360749442614
PA,2241,PA,29,2012-06-01,17.0,False,2.833213344056216,-0.1549307235085582,2.9881440675647744
PA,2242,PA,30,2012-07-01,24.0,False,3.1780538303479458,0.37704427809943164,2.801009552248514
PA,2243,PA,31,2012-08-01,22.0,False,3.091042453358316,0.5303861108047929,2.560656342553523
PA,2244,PA,32,2012-09-01,30.0,False,3.4011973816621555,1.1291297328210086,2.272067648841147
PA,2245,PA,33,2012-10-01,40.0,False,3.6888794541139363,1.7398130041277926,1.9490664499861436
PA,2246,PA,34,2012-11-01,27.0,False,3.295836866004329,1.671542312260707,1.6242945537436222
PA,2247,PA,35,2012-12-01,0.0,False,-4.605170185988091,-5.964560837258912,1.3593906512708207
PA,2248,PA,36,2013-01-01,11.0,False,2.3978952727983707,1.1540428005357164,1.2438524722626543
PA,2249,PA,37,2013-02-01,0.0,False,-4.605170185988091,-5.872938585114481,1.2677683991263904
PA,2250,PA,38,2013-03-01,29.0,False,3.367295829986474,1.926834969041583,1.4404608609448912
PA,2251,PA,39,2013-04-01,34.0,False,3.5263605246161616,1.8529905475670505,1.673369977049111
PA,2252,PA,40,2013-05-01,14.0,False,2.6390573296152584,0.7290075466945618,1.9100497829206966
PA,2253,PA,41,2013-06-01,17.0,False,2.833213344056216,0.7082758542221361,2.12493748983408
PA,2254,PA,42,2013-07-01,14.0,False,2.6390573296152584,0.3344368947733227,2.3046204348419357
PA,2255,PA,43,2013-08-01,11.0,False,2.3978952727983707,-0.049595279768936074,2.4474905525673067
PA,2256,PA,44,2013-09-01,26.0,False,3.258096538021482,0.7005828121420223,2.55751372587946
PA,2257,PA,45,2013-10-01,7.0,False,1.9459101490553132,-0.6919191005961987,2.637829249651512
PA,2258,PA,46,2013-11-01,13.0,False,2.5649493574615367,-0.13830344149741247,2.703252798958949
PA,2259,PA,47,2013-12-01,14.0,False,2.6390573296152584,-0.11801073425206399,2.7570680638673224
PA,2260,PA,48,2014-01-01,10.0,False,2.302585092994046,-0.49766858408984405,2.80025367708389
PA,2261,PA,49,2014-02-01,25.0,False,3.2188758248682006,0.387054399123155,2.8318214257450456
PA,2262,PA,50,2014-03-01,31.0,False,3.4339872044851463,0.5914985838994635,2.8424886205856827
PA,2263,PA,51,2014-04-01,22.0,False,3.091042453358316,0.2616189743655686,2.8294234789927475
PA,2264,PA,52,2014-05-01,17.0,False,2.833213344056216,0.03356081597137495,2.799652528084841
PA,2265,PA,53,2014-06-01,14.0,False,2.6390573296152584,-0.12550528160473418,2.7645626112199926
PA,2266,PA,54,2014-07-01,6.0,False,1.791759469228055,-0.9443404494610301,2.736099918689085
PA,2267,PA,55,2014-08-01,17.0,False,2.833213344056216,0.10909445796662531,2.724118886089591
PA,2268,PA,56,2014-09-01,16.0,False,2.772588722239781,0.049853780711814455,2.7227349415279667
PA,2269,PA,57,2014-10-01,16.0,False,2.772588722239781,0.0447069681630019,2.7278817540767792
PA,2270,PA,58,2014-11-01,20.0,False,2.995732273553991,0.25940838440019887,2.736323889153792
PA,2271,PA,59,2014-12-01,10.0,False,2.302585092994046,-0.44298593531877106,2.745571028312817
PA,2272,PA,60,2015-01-01,18.0,False,2.8903717578961645,0.13291543171516285,2.7574563261810017
PA,2273,PA,61,2015-02-01,11.0,False,2.3978952727983707,-0.3685345656651444,2.766429838463515
PA,2274,PA,62,2015-03-01,26.0,False,3.258096538021482,0.4889396599606992,2.769156878060783
PA,2275,PA,63,2015-04-01,21.0,False,3.044522437723423,0.28836192261127946,2.7561605151121435
PA,2276,PA,64,2015-05-01,15.0,False,2.70805020110221,-0.01806261298740308,2.726112814089613
PA,2277,PA,65,2015-06-01,23.0,False,3.1354942159291497,0.45300234442041987,2.68249187150873
PA,2278,PA,66,2015-07-01,11.0,False,2.3978952727983707,-0.23057946753686842,2.628474740335239
PA,2279,PA,67,2015-08-01,10.0,False,2.302585092994046,-0.2722034196145131,2.574788512608559
PA,2280,PA,68,2015-09-01,11.0,False,2.3978952727983707,-0.13042201644412277,2.5283172892424934
PA,2281,PA,69,2015-10-01,19.0,False,2.9444389791664403,0.45303053167583673,2.4914084474906035
PA,2282,PA,70,2015-11-01,19.0,False,2.9444389791664403,0.48020331483405654,2.4642356643323837
PA,2283,PA,71,2015-12-01,3.0,False,1.0986122886681098,-1.3559108369404813,2.454523125608591
PA,2284,PA,72,2016-01-01,9.0,False,2.1972245773362196,-0.2807738284043304,2.47799840574055
PA,2285,PA,73,2016-02-01,11.0,False,2.3978952727983707,-0.12989529240220765,2.5277905652005783
PA,2286,PA,74,2016-03-01,20.0,False,2.995732273553991,0.4033831728997379,2.592349100654253
PA,2287,PA,75,2016-04-01,19.0,False,2.9444389791664403,0.28648039193932373,2.6579585872271165
PA,2288,PA,76,2016-05-01,20.0,False,2.995732273553991,0.27810562062761823,2.7176266529263726
PA,2289,PA,77,2016-06-01,16.0,False,2.772588722239781,0.003453123281565329,2.769135598958216
PA,2290,PA,78,2016-07-01,16.0,False,2.772588722239781,-0.04231409796618646,2.8149028202059676
PA,2291,PA,79,2016-08-01,15.0,False,2.70805020110221,-0.14935306250543112,2.857403263607641
PA,2292,PA,80,2016-09-01,21.0,False,3.044522437723423,0.14611579658827667,2.8984066411351463
PA,2293,PA,81,2016-10-01,20.0,False,2.995732273553991,0.058538826502020136,2.9371934470519707
PA,2294,PA,82,2016-11-01,20.0,False,2.995732273553991,0.020252834655917873,2.975479438898073
PA,2295,PA,83,2016-12-01,11.0,False,2.3978952727983707,-0.6180607485234102,3.015956021321781
PA,2296,PA,84,2017-01-01,24.0,False,3.1780538303479458,0.11640168413225904,3.0616521462156867
PA,2297,PA,85,2017-02-01,18.0,False,2.8903717578961645,-0.2149239951008286,3.105295752996993
PA,2298,PA,86,2017-03-01,22.0,False,3.091042453358316,-0.05051235579345548,3.1415548091517715
PA,2299,PA,87,2017-04-01,44.0,False,3.784189633918261,0.6226744183371822,3.161515215581079
PA,2300,PA,88,2017-05-01,32.0,False,3.4657359027997265,0.3103149022103113,3.155421000589415
PA,2301,PA,89,2017-06-01,26.0,False,3.258096538021482,0.13420243856791414,3.123894099453568
PA,2302,PA,90,2017-07-01,22.0,False,3.091042453358316,0.018314090871156097,3.07272836248716
PA,2303,PA,91,2017-08-01,19.0,False,2.9444389791664403,-0.06551536814683967,3.00995434731328
PA,2304,PA,92,2017-09-01,16.0,False,2.772588722239781,-0.17131912416308648,2.9439078464028676
PA,2305,PA,93,2017-10-01,30.0,False,3.4011973816621555,0.5193646522377384,2.881832729424417
PA,2306,PA,94,2017-11-01,17.0,False,2.833213344056216,0.005095796745845593,2.8281175473103706
PA,2307,PA,95,2017-12-01,5.0,False,1.6094379124341003,-1.1863690160963671,2.7958069285304674
PA,2308,PA,96,2018-01-01,21.0,False,3.044522437723423,0.24649200622321432,2.7980304315002087
PA,2309,PA,97,2018-02-01,4.0,False,1.3862943611198906,-1.4418504365802682,2.828144797700159
PA,2310,PA,98,2018-03-01,41.0,False,3.713572066704308,0.829957097989706,2.883614968714602
PA,2311,PA,99,2018-04-01,38.0,False,3.6375861597263857,0.6997111142082377,2.937875045518148
PA,2312,PA,100,2018-05-01,19.0,False,2.9444389791664403,-0.03375276821879325,2.9781917473852335
PA,2313,PA,101,2018-06-01,18.0,False,2.8903717578961645,-0.11312188759760167,3.003493645493766
PA,2314,PA,102,2018-07-01,33.0,False,3.4965075614664802,0.4843607965818051,3.012146764884675
PA,2315,PA,103,2018-08-01,20.0,False,2.995732273553991,-0.004899492251607018,3.000631765805598
PA,2316,PA,104,2018-09-01,23.0,False,3.1354942159291497,0.16199222748194586,2.973501988447204
PA,2317,PA,105,2018-10-01,29.0,False,3.367295829986474,0.43206671519050666,2.9352291147959675
PA,2318,PA,106,2018-11-01,13.0,False,2.5649493574615367,-0.3280353398348641,2.892984697296401
PA,2319,PA,107,2018-12-01,14.0,False,2.6390573296152584,-0.22208407069759772,2.861141400312856
PA,2320,PA,108,2019-01-01,12.0,False,2.4849066497880004,-0.3636979827577722,2.8486046325457726
PA,2321,PA,109,2019-02-01,11.0,False,2.3978952727983707,-0.4626831287189246,2.8605784015172953
PA,2322,PA,110,2019-03-01,13.0,False,2.5649493574615367,-0.3312557242420735,2.8962050817036102
PA,2323,PA,111,2019-04-01,30.0,False,3.4011973816621555,0.45428171955990404,2.9469156621022514
PA,2324,PA,112,2019-05-01,28.0,False,3.332204510175204,0.33358430720181875,2.998620202973385
PA,2325,PA,113,2019-06-01,25.0,False,3.2188758248682006,0.17407569829835845,3.044800126569842
PA,2326,PA,114,2019-07-01,21.0,False,3.044522437723423,-0.039974155874394235,3.0844965935978172
PA,2327,PA,115,2019-08-01,15.0,False,2.70805020110221,-0.4116018252996021,3.119652026401812
PA,2328,PA,116,2019-09-01,21.0,False,3.044522437723423,-0.10702017367166361,3.1515426113950866
PA,2329,PA,117,2019-10-01,44.0,False,3.784189633918261,0.6096051293490183,3.1745845045692427
PA,2330,PA,118,2019-11-01,51.0,False,3.9318256327243257,0.7504154403696361,3.1814101923546896
PA,2331,PA,119,2019-12-01,16.0,False,2.772588722239781,-0.402223524431204,3.174812246670985
PA,2332,PA,120,2020-01-01,14.0,False,2.6390573296152584,-0.5310328338285921,3.1700901634438505
PA,2333,PA,121,2020-02-01,16.0,False,2.772588722239781,-0.4032509909520372,3.1758397131918183
PA,2334,PA,122,2020-03-01,31.0,False,3.4339872044851463,0.2421810852822004,3.191806119202946
PA,2335,PA,123,2020-04-01,28.0,False,3.332204510175204,0.12119075525911782,3.211013754916086
PA,2336,PA,124,2020-05-01,21.0,False,3.044522437723423,-0.18600090746803977,3.230523345191463
PA,2337,PA,125,2020-06-01,36.0,False,3.58351893845611,0.3341034776458258,3.249415460810284
PA,2338,PA,126,2020-07-01,22.0,False,3.091042453358316,-0.17262820407097523,3.2636706574292913
PA,2339,PA,127,2020-08-01,29.0,False,3.367295829986474,0.09245794798715279,3.2748378819993214
PA,2340,PA,128,2020-09-01,28.0,False,3.332204510175204,0.05061556543850809,3.2815889447366957
PA,2341,PA,129,2020-10-01,34.0,False,3.5263605246161616,0.2422239029586386,3.284136621657523
PA,2342,PA,130,2020-11-01,35.0,False,3.5553480614894135,0.27181077995419,3.2835372815352235
PA,2343,PA,131,2020-12-01,22.0,False,3.091042453358316,-0.19384190483421238,3.2848843581925284
PA,2344,PA,132,2021-01-01,17.0,False,2.833213344056216,-0.464588121061857,3.297801465118073
PA,2345,PA,133,2021-02-01,14.0,False,2.6390573296152584,-0.689624187771332,3.3286815173865905
PA,2346,PA,134,2021-03-01,33.0,False,3.4965075614664802,0.1203332667446988,3.3761742947217814
PA,2347,PA,135,2021-04-01,42.0,False,3.7376696182833684,0.31023377789887885,3.4274358403844896
PA,2348,PA,136,2021-05-01,48.0,False,3.871201010907891,0.39957325882658834,3.471627752081303
PA,2349,PA,137,2021-06-01,25.0,False,3.2188758248682006,-0.2842063656155922,3.5030821904837928
